a 工
gjh 惠
gjhg 瑁
gjk 丌
gjq 更
gjx 琨
gk 事
gkf 吾
gkh 囊
gkhj 蠹
gkhk 璐
gkhs 橐
gki 束
gkih 整
gkij 剌
gkim 赖
gkip 速
gkit 敕
gkk 卅
gkkk 噩
gkl 副
gklp 逼
gkm 融
gkmh 鬲
gkmn 翮
gkp 带
gkq 吏
gku 豆
gkua 豇
gkub 豌
gkuc 豉
gkup 逗
gl 画
glf 盏
gli 柬
glk 珈
glp 琏
gm 现
gma 曹
gmap 遭
gmd 瑞
gmf 再
gmi 刺
gmii 棘
gmiu 枣
gmm 珊
gmmv 璎
gmn 玑
gmu 责
gmw 丙
gmwb 邴
gmww 两
gmwy 璀
gmy 丽
gmyb 郦
gmyg 鹂
gmyp 逦
gn 与
gna 珉
gnd 琚
gngw 欤
gnh 瑕
gny 瓦
go 来
god 严
gog 亚
goga 戬
gogf 垩
gogj 晋
gogn 恶
gogy 璞
goi 灭
gom 赉
goo 琰
gpf 琮
gpl 珲
gpq 琬
gpw 琛
gq 列
gqb 殛
gqc 殆
gqe 殂
gqeb 殍
gqf 殖
gqfu 殪
gqfw 麸
gqg 残
gqi 歹
gqje 裂
gqji 虺
gqjo 烈
gqk 殒
gqm 殃
gqmc 殁
gqp 殡
gqq 殉
gqr 殊
gqt 歼
gqtb 聱
gqtc 骜
gqtd 獒
gqtg 鳌
gqtj 螯
gqtm 赘
gqto 熬
gqtp 遨
gqtq 鏊
gqtr 殇
gqty 敖
gqu 殚
gqv 兀
gqw 殓
gqwe 殄
gqwe 餮
gqx 死
gqy 玖
gr 珠
grd 碧
grg 珀
grq 瑰
gs 末
gsh 玎
gsk 珂
gss 琳
gt 玫
gtf 珩
gtfm 瓒
gtk 珞
gtl 璁
gtu 麦
gu 平
guj 璋
guw 夹
guwb 郏
guwm 颊
gv 妻
gvt 瑙
gw 珍
gwa 玳
gwg 瑜
gwv 玢
gwy 玲
gx 互
gxf 纛
gxgu 毒
gxi 素
gxw 夷
gy 玉
gyb 璃
gyc 琉
gyg 斑
gyiy 琼
gyt 班
gyth 璇
gyv 琅
gyvk 瑭
gyy 玟
h 上
ha 虎
haa 虐
hae 遽
hag 眶
hagw 瞒
hak 虞
hal 瞄
halv 虏
hame 彪
han 虑
hao 虚
haoq 觑
haq 眍
hav 虍
hay 虔
hc 皮
hcd 颇
hck 眙
hcr 眸
hcu 攴
hcw 睃
hd 睚
he 肯
hep 瞬
hes 睬
hf 睦
hfc 歧
hfcl 瞌
hff 眭
hft 睹
hg 睛
hgb 盹
hgf 盱
hgh 眄
hgm 凸
hgo 睐
hgv 睫
hh 止
hhhh 目
hhl 丨
hhu 卡
hhw 矍
hhwn 氍
hhwy 瞿
hhx 眦
hhy 卜
hi 步
hic 叔
hich 督
hid 频
hidf 颦
hip 瞠
hiq 眺
hit 眇
hj 旧
hjj 卓
hjs 桌
hk 占
hka 战
hkm 觇
hkn 乩
hko 点
hl 卤
hln 卣
hlqa 鹾
hm 贞
hn 卢
hna 眠
hnb 瞰
hnd 鼎
hndm 颅
hnq 鸬
hnt 瞩
hnu 忐
ho 眯
hoq 瞵
hp 瞎
hpg 壑
hpgh 睿
hpj 瞑
hpq 眈
hq 餐
hqco 粲
hqd 瞻
hqq 眵
hqv 睁
hr 睥
hs 盯
hsf 瞟
ht 睡
hto 瞅
htp 眨
hu 瞳
huxt 睇
hv 眼
hvh 瞍
hvq 睨
hw 具
hwb 齿
hwbc 龄
hwbe 龈
hwbf 龌
hwbg 龃
hwbh 龊
hwbk 龆
hwbk 龉
hwbn 龅
hwbx 龀
hwbx 龇
hwby 龋
hwg 瞪
hwgd 睽
hwgi 睑
hwv 盼
hwy 瞧
hwyg 睢
hx 此
hxd 砦
hxf 些
hxm 赀
hxq 觜
hxs 柴
hxw 雌
hxx 紫
hxy 訾
hy 眩
i 不
ia 江
iad 湛
iada 漭
iadr 澌
iadw 淇
iaf 泔
iagn 懑
iagw 满
iaj 漠
iak 灌
iam 潢
ian 汇
iann 泄
ians 渠
ians 渫
iap 涝
iapi 潆
iapy 滢
iaq 沤
iaqg 鸿
ias 柒
iat 浇
iav 沏
iavj 潇
iaw 洪
iawn 港
ib 池
ibc 滠
ibg 洱
ibi 涵
ibk 凼
ibl 泐
ibw 滁
ic 汉
ica 泾
icd 渗
ice 涌
icf 泽
ick 治
icw 滩
icwt 浚
icyy 汊
id 尖
ide 湖
ideg 洧
idf 涯
idff 溽
idg 沽
idh 沣
idhc 滟
idi 尜
idj 淹
idl 沥
idm 湎
idr 源
idt 涛
idui 潦
idw 溱
idx 泷
idy 汰
ie 肖
ieb 浮
iec 淝
ieg 沮
iej 削
iep 逍
iet 淫
iev 滔
iex 溪
iey 汲
ieyy 涿
if 法
ifa 灞
ifcl 溘
ifd 濡
iff 尘
iffg 洼
ifh 汗
ifh 汁
ifhw 滇
ifj 潮
ifjn 瀚
ifk 洁
ifke 澎
ifkf 澍
ifn 污
ifnd 渎
ifp 渤
ifq 沅
ift 渚
ifw 潜
ig 汪
igb 沌
igd 添
ige 清
igef 溥
igey 浦
igh 沔
igj 洹
igk 滞
igkg 浯
igki 涑
igkm 濑
igkw 漱
igm 渍
igmh 沛
igmj 漕
igo 涞
igq 洌
igs 沫
igt 浅
igu 浃
ih 小
iha 滤
ihah 滹
ihc 波
ihcv 婆
ihg 泪
ihi 涉
ihic 淑
ihim 濒
ihit 渺
ihj 淖
ihk 沾
ihm 浈
ihn 泸
ihq 瀣
ihw 濉
ii 水
iie 消
iiiu 淼
iim 淌
iiq 洮
iit 沙
iite 裟
iitg 鲨
iitr 挲
iitv 娑
ij 浊
ija 瀑
ijf 沓
ijfg 涅
ijg 汩
ijg 汨
ijl 温
ijlc 漫
ijn 溻
ijo 湿
ijq 渴
ijt 滥
ijx 混
ijym 灏
ik 澡
ike 涓
ikh 溃
ikhk 潞
ikhy 浞
ikj 渑
ikkn 漶
ikm 涡
il 渐
ild 涸
ildy 洇
ile 渭
iley 溷
ilf 涠
ilg 泗
ilgj 淠
ilk 洄
ilp 涟
ilw 泅
ilx 漯
im 没
ima 澧
imd 湍
imdy 泱
ime 滑
img 油
imgk 洞
imgt 溅
imh 汕
imj 测
imk 沿
imkf 尚
imkn 氅
imkt 敞
imw 涔
in 沁
ina 泯
inb 澉
inbb 潺
inf 汛
infy 漏
ing 渥
inh 湄
inm 涮
inn 汜
inr 汤
inro 烫
int 泌
inty 泼
inw 濯
inx 泥
io 淡
iol 瀵
ip 学
ipa 黉
ipe 浓
ipf 尝
ipfi 淙
ipfq 浣
ipg 演
ipgg 泻
ipgg 渲
ipgh 淀
ipi 泶
ipj 渖
ipju 溟
ipk 党
ipke 裳
ipkf 堂
ipkh 常
ipkm 赏
ipkr 掌
ipks 棠
ipl 浑
ipm 沉
ipmq 觉
ipn 涫
ipq 沈
ipqg 鲎
ipr 滨
ips 泞
ipt 喾
ipu 滓
ipw 深
ipwk 溶
ipx 沱
iq 光
iqbh 汹
iqc 沟
iqd 淆
iqdh 浠
iqdy 澹
iqf 鼗
iqg 淦
iqgg 渔
iqi 泺
iqj 洵
iqk 浼
iqm 涣
iqn 泡
iqny 耀
iqp 逃
iqpl 辉
iqr 淘
iqt 泖
iqtj 潴
iqtk 漪
iqv 兆
iqy 汐
iqyl 溜
ir 泊
ird 湃
ire 派
irgg 湟
irgw 浜
irh 沂
iri 洙
irn 汽
irr 浙
iry 激
is 洒
isf 漂
isfg 湮
isgg 酒
ish 汀
ishg 湘
isj 潭
isjg 渣
isk 河
isr 淅
iss 淋
isse 潸
issv 漤
issy 溧
isw 漆
iswc 淞
isy 沐
isyy 沭
it 少
ita 洚
itb 沲
itd 活
itdq 鋈
itdy 沃
itf 洗
